Model,Accuracy,Precision,Recall,F1,CV_Mean,CV_Std,ROC_AUC
SVM,0.8212290502793296,0.7681159420289855,0.7681159420289855,0.7681159420289855,0.8202403230572246,0.012818877891273677,0.8495388669301713
Logistic Regression,0.8100558659217877,0.7777777777777778,0.7101449275362319,0.7424242424242424,0.8047966118388654,0.02133138591200494,0.8574440052700922
Random Forest,0.7877094972067039,0.7183098591549296,0.7391304347826086,0.7285714285714285,0.8174825174825175,0.028622841336326657,0.8264163372859025
Decision Tree,0.7597765363128491,0.6756756756756757,0.7246376811594203,0.6993006993006993,0.7711119866049444,0.02825273618671782,0.7498682476943346
KNN,0.7486033519553073,0.6875,0.6376811594202898,0.6616541353383458,0.8020388062641584,0.031404158446829616,0.8016469038208168
